-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,13,14,-1,-1,-1,-1,-1,-1,12,13,13,13,13,13,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,13,14,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1
7,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,12,13,13,13,13,14,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,13,14,-1,-1,-1,-1,-1,-1,-1
11,4,5,6,-1,-1,15,-1,-1,15,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,12,13,14,-1,-1,-1,12,13,13,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1
-1,8,9,10,-1,-1,-1,-1,-1,-1,-1,-1,15,7,-1,-1,-1,-1,-1,-1,-1,3,-1,15,-1,-1,-1,-1,-1,-1,-1,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,13,14,-1,-1,-1,15
-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1
12,13,13,13,14,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,-1,7,-1,-1,15,-1,-1,-1,3,14,-1,7,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,13,14,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,7,-1,12,13,14,-1,-1,-1,15,-1,-1,4,5,6,-1,7,14,-1,-1,-1,-1,-1,7,-1,-1,7,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,13,13,13,14,-1,-1,-1,-1,-1,-1,0,1,2,-1,-1,3
-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,6,-1,7,-1,-1,-1,-1,15,-1,7,-1,12,7,6,6,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,3,7
-1,-1,12,13,14,-1,-1,-1,-1,-1,-1,12,13,14,-1,-1,-1,4,5,6,-1,7,-1,-1,15,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,3,-1,7,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,8,13,13,13,13,14
15,-1,-1,-1,-1,-1,12,13,14,-1,-1,-1,-1,-1,-1,-1,-1,4,5,6,-1,7,2,-1,-1,-1,-1,-1,7,3,3,3,3,3,3,3,3,-1,-1,7,-1,7,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
